setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_frobenius,pe_cocolasso_max,pe_reweighted_frobenius,time_cocolasso_max,time_reweighted_frobenius,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,55,55,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.084550330287909,7.263335297362305,6.147979224820726,6.308313783227553,15.47028012399096,1.6310683409683406,-0.17878496707439595,-0.1603345584068272,13.83921178302262,9.484752867440545,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,56,56,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.656568050216205,3.753066796506705,4.511744569209763,4.642372879567214,15.483000673004426,1.499573620967567,-0.09649874629050004,-0.1306283103574506,13.983427052036859,10.32493533929622,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,57,57,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.184912436448263,7.246349187372311,7.602432579837302,7.675912210270307,15.416865000035614,1.8278578390018083,-0.06143675092404788,-0.0734796304330052,13.589007161033805,8.434389519293662,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,58,58,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.478610858561002,5.173243312906789,6.571308658687737,6.2620101087888775,15.415812909952365,1.7936354500125162,0.30536754565421287,0.30929854989885985,13.622177459939849,8.594730278019869,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,59,59,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.277611098058059,4.201129078393156,5.728146806769514,5.67459225825966,15.462519597960636,1.6920973689993843,0.07648201966490298,0.05355454850985364,13.770422228961252,9.138079097129229,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,60,60,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.74934481273273,3.691798359812098,4.350389241166004,4.39036858240783,15.534384944941849,1.4657773969811387,0.057546452920631985,-0.03997934124182567,14.06860754796071,10.598051912204333,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,61,61,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,6.954078211802429,6.882657467571805,6.714718980363399,6.770227115039232,15.478960441076197,1.7367683060001582,0.07142074423062361,-0.05550813467583282,13.742192135076039,8.912507435562787,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,62,62,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.044117619129474,5.107512256779968,4.711832001917148,4.76692181875058,15.466262190020643,1.74295618198812,-0.06339463765049391,-0.055089816833432614,13.723306008032523,8.873580615422528,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,63,63,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.135872905989132,3.0637753312429794,3.5377191422109724,3.535756690373346,15.429655991028994,1.6863059250172228,0.07209757474615275,0.0019624518376262223,13.743350066011772,9.149974368305328,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,64,64,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.107090988000553,5.089318011696507,6.518761664896864,6.53926662479704,15.400181062053887,1.5896698760334402,0.017772976304045507,-0.02050495990017609,13.810511186020447,9.687659868400205,low,datta_zhang (exactly 3-sparse)
